nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Potamogeton montevidensis A. Benn.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1355.png?itok=yNuuwm1n,Potamogetonaceae,"",Hierba acuática perenne,Nativa,Biobío (BIO),0-3000 m.,Argentina,-,-
Potamogeton pusillus L.,http://catalogoplantas.udec.cl/sites/default/files/1356_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1356_1.jpg?itok=y7hsUdDw,Potamogetonaceae,"Potamogeton berteroanus Phil., Potamogeton aschersonii A. Benn., Potamogeton pusillus L. var. longepedunculatus Hicken, Potamogeton tenuifolius F. Phil., Potamogeton uruguayensis A. Benn. & Graebn., Potamogeton pusillus L. var. argentinus A. Benn.",Hierba acuática anual o bienal,Introducida,"Antofagasta (ANT), Atacama (ATA), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",0-2000 m.,-,Espiga de agua,-
Potamogeton spirilliformis Hagstr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1357.png?itok=I879Pwh6,Potamogetonaceae,Potamogeton reniacoensis Sparre,Hierba acuática perenne,Nativa,Valparaíso (VAL),0-500 m.,Argentina,-,-
"Stuckenia filiformis (Pers.) Boehm. subsp. alpina (Blytt) R.R. Haynes, Les & M. Král",-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1358.png?itok=HcRy9DuC,Potamogetonaceae,"Potamogeton strictus Phil., Potamogeton aulacophyllum K. Schum., Potamogeton strictus Phil. var. magellanicus Hagstr., Potamogeton juncifolius A. Kern. ex C. Fritsch, Potamogeton marinus L. fma. alpinus Blytt",Hierba acuática perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Biobío (BIO), Magallanes (MAG)",200-4000 m.,Argentina y Bolivia,-,-
Stuckenia pectinata (L.) Börner,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1359.png?itok=fGaQP4yT,Potamogetonaceae,"Potamogeton diffusus (Hagstr.) Herter, Potamogeton pectinatus L. var. diffusus Hagstr., Potamogeton pectinatus L., Coleogeton pectinatus (L.) Les & R.R. Haynes",Hierba acuática perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Biobío (BIO)",0-4000 m.,Argentina y Bolivia,-,-
Stuckenia striata (Ruiz & Pav.) Holub,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1360.png?itok=bK3duqSz,Potamogetonaceae,"Potamogeton australis F. Phil., Potamogeton dissimilis A. Benn., Potamogeton pectinatus L. var. striatus (Ruiz & Pav.) Hagstr., Potamogeton pectinatus L. var. ungulatus Hagstr., Coleogeton striatus (Ruiz & Pav.) Les & R.R. Haynes, Potamogeton striatus Ruiz & Pav.",Hierba acuática perenne,Nativa,"Valparaíso (VAL), Metropolitana (RME), Los Lagos (LLA)",0-4000 m.,Argentina y Perú,Nori,-
Zannichellia palustris L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1361.png?itok=KdSiSy-y,Potamogetonaceae,"",Hierba acuática perenne,Introducida,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Magallanes (MAG)",0-4400 m.,-,-,-
Apodasmia chilensis (Gay) B.G. Briggs & L.A.S. Johnson,http://catalogoplantas.udec.cl/sites/default/files/1362_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1362_1.jpg?itok=ffuTMv3d,Restionaceae,"Leptocarpus chilensis (Gay) Mast., Schoenodum chilense Gay, Calopsis chilensis (Gay) Steud.",Hierba perenne,Endémica,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",1-250 m.,-,Canutillo,-
Gaimardia australis Gaudich.,http://catalogoplantas.udec.cl/sites/default/files/1363_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1363_1.jpg?itok=A9gNbwXP,Restionaceae,Gaimardia pusilla Gaudich.,Hierba perenne,Nativa,"Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-300 m.,Argentina,Pasto de turbal,-
Ruppia filifolia (Phil.) Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/1364_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1364_1.jpg?itok=Dtx4HAzB,Ruppiaceae,"Potamogeton filifolius Phil., Ruppia obtusa Hagstr., Ruppia obtusa Hagstr. var. repens Hagstr., Ruppia andina Phil.",Hierba acuática perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Magallanes (MAG)",0-4400 m.,"Argentina, Bolivia y Perú",Pelo de marisma,-
Ruppia maritima L.,http://catalogoplantas.udec.cl/sites/default/files/1365_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1365_1.jpg?itok=ySQ28ZZ4,Ruppiaceae,"Ruppia maritima L. var. rostrata C. Agardh, Ruppia maritima L. subsp. rostellata (Koch ex Rchb.) Asch. & Graebn., Ruppia rostellata Koch ex Rchb.",Hierba acuática perenne,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Araucanía (ARA)",0-500 m.,"Argentina, Bolivia y Perú",-,-
Conanthera bifolia Ruiz & Pav.,http://catalogoplantas.udec.cl/sites/default/files/1366_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1366_1.jpg?itok=OOZ-d5hF,Tecophilaeaceae,"Conanthera passeriflora Ravenna, Conanthera passeriflora Ravenna fma. lilacina Ravenna, Conanthera passeriflora Ravenna fma. nocticolor Ravenna, Conanthera passeriflora Ravenna fma. coelestis Ravenna, Conanthera passeriflora Ravenna fma. melananthera Ravenna, Conanthera passeriflora Ravenna fma. immaculata Ravenna, Sisyrinchium illmu Molina",Hierba perenne,Endémica,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",1000-1500 m.,-,Flor de la viuda,-
Conanthera campanulata Lindl.,http://catalogoplantas.udec.cl/sites/default/files/1367_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1367_1.jpg?itok=YuHDu9iM,Tecophilaeaceae,"Cummingia campanulata D. Don, Conanthera bifolia auct. non Ruiz & Pav., Conanthera simsii Sweet, Cummingia tenella D. Don, Conanthera variegata Fenzl ex Reichardt, Conanthera tenella (Kunth) Ravenna, Conanthera alba Grau, Conanthera sabulosa Ravenna",Hierba perenne,Endémica,"Tarapacá (TAR), Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",0-3200 m.,-,-,-
Conanthera parvula (Phil.) Muñoz-Schick,http://catalogoplantas.udec.cl/sites/default/files/1368_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1368_1.jpg?itok=KsCwKas6,Tecophilaeaceae,"Conanthera johowii Espinosa, Conanthera minima Grau, Cummingia parvula Phil.",Hierba perenne,Endémica,"Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",100-500 m.,-,-,-
Conanthera trimaculata (D. Don) F. Meigen,http://catalogoplantas.udec.cl/sites/default/files/1369_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1369_1.jpg?itok=L3nBq-7W,Tecophilaeaceae,"",Hierba perenne,Endémica,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Ñuble (NUB)",0-800 m.,-,-,-
Conanthera urceolata Ravenna,http://catalogoplantas.udec.cl/sites/default/files/1370_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1370_1.jpg?itok=nx4w-28O,Tecophilaeaceae,"",Hierba perenne,Endémica,Atacama (ATA),0-100 m.,-,-,-
Tecophilaea cyanocrocus Leyb.,http://catalogoplantas.udec.cl/sites/default/files/1371_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1371_1.jpg?itok=XEn-z32N,Tecophilaeaceae,Zephyra cyanocrocus (Leyb.) Ravenna,Hierba perenne,Endémica,Metropolitana (RME),1950-2040 m.,-,-,-
Tecophilaea violiflora Bertero ex Colla fma. polyantha Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/1372_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1372_1.jpg?itok=0zLK9b5y,Tecophilaeaceae,"",Hierba perenne,Endémica,Coquimbo (COQ),-,-,-,"Citada para Chile (Marticorena & Quezada, 1985) sin mencionar ejemplar de referencia"
Tecophilaea violiflora Bertero ex Colla fma. violiflora,http://catalogoplantas.udec.cl/sites/default/files/1373_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1373_1.jpg?itok=GgEr6Zrr,Tecophilaeaceae,Zephyra violiflora (Bertero ex Colla) Ravenna,Hierba perenne,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",0-800 m.,-,Violeta de la cordillera,-
Zephyra compacta C. Ehrh.,http://catalogoplantas.udec.cl/sites/default/files/1374_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1374_1.jpg?itok=RuUcPoda,Tecophilaeaceae,"",Hierba perenne,Endémica,"Atacama (ATA), Coquimbo (COQ)",0-500 m.,-,-,-
Zephyra elegans D. Don,http://catalogoplantas.udec.cl/sites/default/files/1375_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1375_1.jpg?itok=Iu7nWV2Z,Tecophilaeaceae,"Zephyra amoena D. Don, Dicolus caerulescens Phil.",Hierba perenne,Endémica,"Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-800 m.,-,Argentina,-
Typha angustifolia L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1376.png?itok=x9Ix_Fav,Typhaceae,"",Hierba perenne,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Valparaíso (VAL), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",-,-,-,-
Typha domingensis Pers.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1377.png?itok=8MW4brKI,Typhaceae,"",Hierba perenne,Introducida,"Tarapacá (TAR), Antofagasta (ANT), Valparaíso (VAL), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",-,-,-,-
Typha latifolia L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1378.png?itok=GUxzuL1q,Typhaceae,Hierba perenne,Introducida,Biobío (BIO),-,-,-,-,""
Zostera chilensis (J. Kuo) S.W.L. Jacobs & D.H. Les,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1379.png?itok=ISZ0snqc,Zosteraceae,Heterozostera chilensis J. Kuo,Hierba perenne,Endémica,"Atacama (ATA), Coquimbo (COQ)",0-200 m.,-,Seba de mar,-
Dicliptera paposana Phil.,http://catalogoplantas.udec.cl/sites/default/files/1380_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1380_1.jpg?itok=snHCc9l-,Acanthaceae,"",Hierba perenne,Endémica,Antofagasta (ANT),200-500 m.,-,-,-
Stenandrium dulce (Cav.) Nees,http://catalogoplantas.udec.cl/sites/default/files/1381_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1381_1.jpg?itok=wRgV1-nX,Acanthaceae,"Gerardia dulcis (Cav.) S.F. Blake, Ruellia dulcis Cav., Nierembergia prunellifolia Dunal",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",0-3000 m.,"Argentina, Bolivia y Perú",-,-
Aextoxicon punctatum Ruiz & Pav.,http://catalogoplantas.udec.cl/sites/default/files/1382_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1382_1.jpg?itok=q7gv1ZVb,Aextoxicaceae,"",Árbol,Nativa,"Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",0-1800 m.,Argentina,"Olivillo, palo muerto, tique, teque, aceitunillo",-
Carpobrotus chilensis (Molina) N.E. Br.,http://catalogoplantas.udec.cl/sites/default/files/1383_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1383_1.jpg?itok=_mK7vznZ,Aizoaceae,"Mesembryanthemum chilense Molina, Carpobrotus aequilaterus auct. non (Haw.) N.E. Br.",Hierba perenne,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Juan Fernández (JFE)",0-500 m.,Argentina,Doca,-
Carpobrotus edulis (L.) N.E. Br.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1384.png?itok=iGZZhIRl,Aizoaceae,"",Hierba anual,Introducida,"Valparaíso (VAL), Maule (MAU), Biobío (BIO), Los Ríos (LRI)",-,-,-,-
Galenia pubescens (Eckl. & Zeyh.) Druce,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1385.png?itok=xwdXl90p,Aizoaceae,"",Hierba perenne,Introducida,"Coquimbo (COQ), Valparaíso (VAL)",-,-,-,-
Mesembryanthemum crystallinum L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1386.png?itok=n0tCyKdA,Aizoaceae,"",Hierba anual,Introducida,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL)",-,-,-,-
Mesembryanthemum nodiflorum L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1387.png?itok=MEqupafX,Aizoaceae,"",Hierba anual,Introducida,"Atacama (ATA), Coquimbo (COQ)",-,-,-,-
Tetragonia angustifolia Barnéoud,http://catalogoplantas.udec.cl/sites/default/files/1389_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1389_1.jpg?itok=0q4tbp1W,Aizoaceae,"",Arbusto,Endémica,"Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-1200 m.,-,-,-
Tetragonia copiapina Phil.,http://catalogoplantas.udec.cl/sites/default/files/1390_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1390_1.jpg?itok=g3wJc-ZF,Aizoaceae,"",Hierba anual,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-900 m.,-,-,-
Tetragonia espinosae Muñoz,http://catalogoplantas.udec.cl/sites/default/files/1391_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1391_1.jpg?itok=974g1F-v,Aizoaceae,"",Hierba anual,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-600 m.,-,-,-
Tetragonia macrocarpa Phil.,http://catalogoplantas.udec.cl/sites/default/files/1392_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1392_1.jpg?itok=3sp3qgC9,Aizoaceae,Tetragonia pusilla Phil.,Hierba anual,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Islas Desventuradas (IDE)",0-1500 m.,-,-,-
Tetragonia maritima Barnéoud,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1393.png?itok=V6HXzD3c,Aizoaceae,"",Arbusto,Endémica,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-1300 m.,-,-,-
Tetragonia microcarpa Phil.,http://catalogoplantas.udec.cl/sites/default/files/1394_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1394_1.jpg?itok=_M2OrEip,Aizoaceae,"Tetragonia macrocarpa Phil. var. microcarpa (Phil.) Reiche, Tetragonia tenella I.M. Johnst., Tetragonia trigona Phil., Tetragonia kuntzei J. Buchw. ex Kuntze",Hierba anual,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA)",0-3000 m.,Perú,-,-
Tetragonia ovata Phil.,http://catalogoplantas.udec.cl/sites/default/files/1395_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1395_1.jpg?itok=ld_rj-sK,Aizoaceae,Tetragonia robusta Phil.,Hierba anual,Endémica,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",0-700 m.,-,-,-
Tetragonia pedunculata Phil.,http://catalogoplantas.udec.cl/sites/default/files/1396_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1396_1.jpg?itok=x6cH6RCp,Aizoaceae,"",Hierba anual,Nativa,Atacama (ATA),0-600 m.,Perú,-,-
Tetragonia tetragonoides (Pall.) Kuntze,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1397.png?itok=yJ1YQb-F,Aizoaceae,"",Hierba anual,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Biobío (BIO), Los Ríos (LRI), Los Lagos (LLA), Juan Fernández (JFE), Rapa Nui (IPA), Islas Desventuradas (IDE)",10-1200 m.,Argentina,-,"Taylor (1996) señala que es nativa en Australia, Nueva Zelanda, Japón, Argentina y Chile dispersada por corrientes oceánicas, mientras que Prescott (1984) señala que es nativa sólo de Australia y Nueva Zelanda"
Trianthema portulacastrum L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1398.png?itok=C2JBZgy6,Aizoaceae,"",Hierba anual,Introducida,Rapa Nui (IPA),-,-,-,-
Alternanthera halimifolia (Lam.) Standl. ex Pittier,http://catalogoplantas.udec.cl/sites/default/files/1399_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1399_1.jpg?itok=x4scmSLU,Amaranthaceae,Achyranthes halimifolia Lam.,Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Atacama (ATA)",0-500 m.,Perú,-,-
Alternanthera philoxeroides (Mart.) Griseb.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1400.png?itok=WhrlVDwZ,Amaranthaceae,"",Hierba acuática perenne,Introducida,Valparaíso (VAL),-,-,-,-
Alternanthera porrigens (Jacq.) Kuntze,http://catalogoplantas.udec.cl/sites/default/files/1401_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1401_1.jpg?itok=bF3RSqib,Amaranthaceae,"Alternanthera junciflora (J. Remy) I.M. Johnst., Achyranthes porringens Jacq.",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Valparaíso (VAL)",0-600 m.,Bolivia y Perú,-,-
Amaranthus albus L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1402.png?itok=rGx76Sl7,Amaranthaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Metropolitana (RME)",-,-,-,-
Amaranthus asplundii Thell.,http://catalogoplantas.udec.cl/sites/default/files/1403_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1403_1.jpg?itok=VWGFBU1q,Amaranthaceae,"Amaranthus affinis Thell., Amaranthus buchtienianus Thell.",Hierba anual,Nativa,Los Lagos (LLA),2400-3600 m.,Argentina y Bolivia,-,-
"Amaranthus blitum L. subsp. emarginatus (Moq. ex Uline et W.L. Bray) Carretero, Muñoz Garm. & Pedrol",-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1404.png?itok=SUjwmcJS,Amaranthaceae,"",Hierba anual,Introducida,"Tarapacá (TAR), Antofagasta (ANT)",-,-,-,-
Amaranthus deflexus L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1405.png?itok=5Q4WXLPb,Amaranthaceae,"",Hierba perenne,Introducida,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Magallanes (MAG), Juan Fernández (JFE)",-,-,-,-
Amaranthus hybridus L. subsp. cruentus (L.) Thell.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1406.png?itok=nSZHghom,Amaranthaceae,"",Hierba anual,Introducida,"Metropolitana (RME), Maule (MAU), Biobío (BIO)",-,-,-,-
Amaranthus hybridus L. subsp. hybridus,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1407.png?itok=-YQripJ8,Amaranthaceae,"",Hierba anual,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Juan Fernández (JFE)",-,-,-,-
Amaranthus looseri Suess.,http://catalogoplantas.udec.cl/sites/default/files/1408_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1408_1.jpg?itok=4EMewuc9,Amaranthaceae,"",Hierba anual,Endémica,"Valparaíso (VAL), Metropolitana (RME)",500 m.,-,-,-
Amaranthus retroflexus L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1409.png?itok=qZLHO1as,Amaranthaceae,"",Hierba anual,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",-,-,-,-
Amaranthus viridis L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1410.png?itok=miFFEX12,Amaranthaceae,"",Hierba perenne,Introducida,"Atacama (ATA), Coquimbo (COQ), Araucanía (ARA)",-,-,-,-
Gomphrena meyeniana Walp.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1411.png?itok=gm_NiFGu,Amaranthaceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT)",2000-4500 m.,"Argentina, Bolivia y Perú",-,-
Gomphrena umbellata J. Remy,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1412.png?itok=mWATgXyd,Amaranthaceae,Xeraea umbellata (J. Remy) Kuntze,Hierba anual,Nativa,Tarapacá (TAR),3000-4000 m.,"Argentina, Bolivia y Perú",-,-
Haplorhus peruviana Engl.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1413.png?itok=0OC1qQA4,Anacardiaceae,"",Árbol,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",0-1000 m.,Perú,Carza,-
